Comunidades y Ciudades Autónomas;Periodo;Total
01 Andalucía;2021;9,33
02 Aragón;2021;11,06
03 Asturias, Principado de;2021;13,25
04 Balears, Illes;2021;7,22
05 Canarias;2021;7,63
06 Cantabria;2021;10,37
07 Castilla y León;2021;12,31
08 Castilla - La Mancha;2021;9,97
09 Cataluña;2021;9,05
10 Comunitat Valenciana;2021;9,83
11 Extremadura;2021;11,68
12 Galicia;2021;12,21
13 Madrid, Comunidad de;2021;7,40
14 Murcia, Región de;2021;8,36
15 Navarra, Comunidad Foral de;2021;8,79
16 País Vasco;2021;10,60
17 Rioja, La;2021;10,80
18 Ceuta;2021;8,14
19 Melilla;2021;6,76
